Record ID,Store Name,Store Street Address,Additonal Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name,x,y
1493112,Abernathy Bp,180 Ralph David Abernathy Blvd SW,,Atlanta,GA,30312,2748,FULTON,Convenience Store,33.736565,-84.393791,,,-9394673.840233954,3993483.7549070255
1499463,Food For Life Farm NAFMNP,2075 Penelople St,,Washington,GA,30314,    ,FULTON,Farmers and Markets,33.75304,-84.453812,,,-9401355.347390857,3995689.3405913506
1506264,Chevron Food Mart,1222 W Marietta St NW,,Atlanta,GA,30318,4911,FULTON,Convenience Store,33.78603,-84.427345,,,-9398409.054428032,4000107.1414152
1512418,Lidl 1453,1855 Memorial Dr SE,,Atlanta,GA,30317,2103,DEKALB,Super Store,33.747066,-84.32663,,,-9387197.511912785,3994889.5241702003
1519628,Bp Food Mart,329 14th St NW,,Atlanta,GA,30318,5366,FULTON,Convenience Store,33.786388,-84.397972,,,-9395139.26702496,4000155.0917197047
1520179,Henrys Pack N Sack,1167 Joseph E Boone Blvd NW,,Atlanta,GA,30314,2375,FULTON,Convenience Store,33.763817,-84.425682,,,-9398223.930114843,3997132.3375246837
1522774,Texaco Food Mart,247 Moreland Ave SE,,Atlanta,GA,30316,1458,FULTON,Convenience Store,33.746826,-84.349586,,,-9389752.962143436,3994857.3934393357
1526536,Castleberry Farmers Market 1,99 Centennial Olympic Park Drive,,Atlanta,GA,30303,1208,FULTON,Farmers and Markets,33.75782,-84.393509,,,-9394642.44813755,3996329.3409692384
1527223,City Produce,209 Edgewood Ave SE,Ste 114,Atlanta,GA,30303,3012,FULTON,Grocery Store,33.754051,-84.379875,,,-9393124.718200075,3995824.70171259
1527903,Lt New Orleans Seafood Market,585 Joseph E Lowery Blvd SW,,Atlanta,GA,30310,1400,FULTON,Specialty Store,33.739174,-84.417755,,,-9397341.500511324,3993833.005767841
1528959,Best 4 Less,1960 Donald Lee Hollowell Pkwy NW,,Atlanta,GA,30318,4809,FULTON,Convenience Store,33.775513,-84.44873,,,-9400789.621738646,3998698.5901966095
1538869,Cascade Food Mart,1072 Cascade Rd SW,,Atlanta,GA,30311,2814,FULTON,Convenience Store,33.725842,-84.445816,,,-9400465.236742474,3992048.444044549
